时间,价格(usd),成交额,市值
"2022-01-08 00:00","1.0009814004","10173141.1125398055","6363070822.9887037277",
"2022-01-07 00:00","1.0009094497","16203964.6863787081","6362613444.4540376663",
"2022-01-06 00:00","1.0020546875","17794635.2765632160","6369893529.0898370743",
"2022-01-05 00:00","1.0009596046","9439244.1556606423","6362932270.2550392151",
"2022-01-04 00:00","1.0002875320","11432200.8830714785","6358660018.0835418701",
"2022-01-03 00:00","1.0018592541","8722637.6494060569","6368651191.2186679840",
"2022-01-02 00:00","1.0013489044","8580274.0697242916","6365406984.2717523575",
"2022-01-01 00:00","1.0004830526","8923540.0079842061","6359902909.6631851196",
"2021-12-31 00:00","0.9987093791","12308658.5903290827","6348627964.6957836151",
"2021-12-30 00:00","1.0034727918","10173883.7055769116","6378908179.7469520569",
"2021-12-29 00:00","1.0010618444","12121053.4313808158","6363582191.5192689896",
"2021-12-28 00:00","1.0028526717","12765890.3044197634","6374966180.4951686859",
"2021-12-27 00:00","0.9989922090","9051459.6487808619","6350425866.9355974197",
"2021-12-26 00:00","1.0012781487","5850925.9053673660","6364957202.1946964264",
"2021-12-25 00:00","1.0009165713","6806319.1995019261","6362658714.7975597382",
"2021-12-24 00:00","0.9993461693","11393456.1185976602","6352675933.2714920044",
"2021-12-23 00:00","0.9997769980","9369920.6000288669","6355414638.7249059677",
"2021-12-22 00:00","1.0002896281","10965343.5130528416","6358673342.5854539871",
"2021-12-21 00:00","1.0020917231","9970856.1898667458","6370128958.0760250092",
"2021-12-20 00:00","1.0065794067","8367210.6381466826","6398656409.4648084641",
"2021-12-19 00:00","1.0040102993","7538317.1633245433","6382325024.9604444504",
"2021-12-18 00:00","1.0031048119","9425202.6058847830","6376568993.2863616943",
"2021-12-17 00:00","1.0031504371","12165103.4092145991","6376859024.9583892822",
"2021-12-16 00:00","1.0017772358","15152518.8829567879","6368129814.6163520813",
"2021-12-15 00:00","1.0050567451","10311358.9820775464","6388977105.3444023132",
"2021-12-14 00:00","1.0024801472","19755091.3159992620","6372598104.4834938049",
"2021-12-13 00:00","1.0066151894","8969090.7922608163","6398883874.2220411301",
"2021-12-12 00:00","1.0038599860","6237833.1550580803","6381369508.7646484375",
